fecha,demanda_gwh,gen_hidraulica_gwh,gen_termica_total_gwh,gen_vapor_bunker_gwh,gen_turbinas_gas_gwh,gen_turbinas_diesel_gwh,gen_motores_bunker_gwh,gen_motores_diesel_gwh,gen_turbinas_nafta_gwh,gen_otros_gwh,total_generacion_gwh,total_importacion_gwh,total_exportacion_gwh,total_perdidas_transporte_gwh,balance_gwh,precipitacion_mm,temperatura_media_c,temperatura_max_c,temperatura_min_c,humedad_relativa_pct,viento_max_kmh,caudal_paute_m3s,caudal_coca_m3s,caudal_pastaza_m3s,caudal_napo_m3s,caudal_ponderado,oni_mensual,precip_embalses,poblacion,flag_covid_max,flag_racionamiento_max,dias_racionamiento,n_dias,pct_hidro,pct_termica,dependencia_importacion,excedente_exportacion,intensidad_energetica,energia_csr_mwh,energia_molino_mwh,energia_mazar_mwh,energia_sopladora_mwh,energia_msf_mwh,caudal_cuenca_paute_m3s,caudal_molino_m3s,cota_molino_msnm,caudal_mazar_m3s,cota_mazar_msnm,caudal_sopladora_m3s,cota_sopladora_msnm,caudal_msf_m3s,cota_msf_msnm,participacion_paute_en_hidro,intensidad_energetica_mensual,anio,mes,regimen,cluster
2009-07-01,1222.351870247,935.5254,413.15100000000007,192.7232,72.6787,51.6137,81.27980000000001,5.2369,0.0,9.6187,1348.6754999999998,35.355700000000006,5.8649,61.68701401199999,94.127415741,71.14,20.65032258064516,24.70354838709678,17.911935483870966,80.7216129032258,10.233225806451612,137.73612903225802,253.60548387096773,307.6590322580646,1372.2645161290322,292.3783870967742,0.4499999999999998,6.791129032258064,14397760.548387095,0.0,0.0,0.0,31.0,0.6936623376045609,0.3063383297168222,0.0289243227425632,0.004798045589618,8.489874978396785e-05,612355.0,612355.0,0.0,0.0,0.0,162.1232177419355,162.1232177419355,1988.94,0.0,0.0,0.0,0.0,0.0,0.0,0.6545573214794597,84.89874978396784,2009,7,Estres Severo,4
2009-08-01,1212.9175336120002,817.6071000000001,491.6918999999999,224.1044,81.7925,57.39620000000001,102.012,8.6193,0.0,17.767500000000002,1309.3004,99.1626,2.374599999999999,64.7716,128.39926638799997,132.8,20.62935483870968,24.77580645161291,17.860322580645164,81.08,10.649354838709678,115.6974193548387,191.6525806451613,242.30935483870968,1296.2151612903226,246.80612903225807,0.5799999999999997,6.883064516129033,14420296.612903226,0.0,0.0,0.0,31.0,0.6244610480528381,0.375537882673831,0.0817554345221635,0.0019577588205263,8.411182974743295e-05,467704.0,467704.0,0.0,0.0,0.0,118.5830564516129,118.5830564516129,1987.5,0.0,0.0,0.0,0.0,0.0,0.0,0.572040042215876,84.11182974743295,2009,8,Crisis Energetica,1
2009-09-01,1205.2268114010003,628.8836,616.0405000000001,271.5606,91.3145,125.5839,98.4164,10.3511,0.0,18.814,1244.9234,150.9499,0.5113,62.55380000000001,127.58138859899998,69.93,20.749666666666663,25.62266666666666,17.618666666666666,77.50166666666668,11.931,83.856,137.15866666666668,201.78566666666663,815.5096666666667,171.34533333333331,0.7100000000000002,4.345833333333333,14442469.2,0.0,0.0,0.0,30.0,0.505158469991005,0.494842092292586,0.125246052089175,0.0004242355008727,8.345019087186285e-05,316766.0,316766.0,0.0,0.0,0.0,70.90165277777778,70.90165277777778,1990.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5036957554625371,83.45019087186284,2009,9,Crisis Energetica,1
2009-10-01,1252.764514079,651.3786999999999,726.0185,295.6763,94.1889,200.77970000000005,107.94799999999998,11.4196,0.0,16.005999999999997,1377.3971000000004,53.05609999999999,0.757,41.55830000000001,135.373385921,113.64,20.99516129032258,25.791290322580647,17.93870967741936,79.05129032258064,11.85741935483871,126.76387096774197,220.958064516129,221.7212903225807,1193.6390322580644,253.0654838709677,1.0100000000000005,9.220967741935484,14464641.806451611,0.0,0.0,0.0,31.0,0.4729055259372912,0.527094546663413,0.0423512155746249,0.0006042636038078,8.660874778940145e-05,312755.0,312755.0,0.0,0.0,0.0,64.47725537634409,64.47725537634409,1984.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4801431179742292,86.60874778940145,2009,10,Estres Severo,4
2009-11-01,1083.482810436,422.9572,781.7436999999999,297.2762,90.7124,221.6964,114.1256,10.874199999999997,30.4541,16.604799999999997,1204.7010000000002,52.11650000000001,0.8953000000000001,30.8347,141.60468956399998,95.94,21.404333333333337,26.263,18.31766666666667,77.87766666666667,12.063333333333333,133.6,276.9376666666667,248.09733333333327,1243.2586666666664,283.7646666666667,1.36,8.999999999999998,14486814.4,0.0,1.0,26.0,30.0,0.3510889424014754,0.6489109745903753,0.0481009015537847,0.0008263167549836,7.479096373568504e-05,143222.0,143222.0,0.0,0.0,0.0,41.20030833333333,41.20030833333333,1970.96,0.0,0.0,0.0,0.0,0.0,0.0,0.3386205507318471,74.79096373568504,2009,11,Estres Severo,4
2009-12-01,1185.0577025649998,458.0585,878.0003999999999,294.8832,85.25460000000001,261.6898,151.7192,12.2581,65.2638,6.9317,1336.0589000000002,25.356700000000004,1.5628000000000002,3.8861,170.90899743499995,157.13,21.81451612903226,25.65870967741936,19.375161290322577,82.06548387096775,10.094838709677422,267.3877419354838,199.7067741935484,318.44290322580645,1001.0777419354838,302.4612903225807,1.5600000000000005,8.714516129032257,14508986.967741936,0.0,1.0,31.0,31.0,0.3428430438208973,0.6571569561791024,0.0213970171622163,0.0013187543497817,8.167749445221487e-05,171267.0,171267.0,0.0,0.0,0.0,45.676702956989246,45.676702956989246,1980.09,0.0,0.0,0.0,0.0,0.0,0.0,0.3738976571769762,81.67749445221487,2009,12,Estres Severo,4
2010-01-01,1260.024921792,544.8545,877.6138000000001,302.57640000000004,93.92109999999998,245.72710000000004,162.41299999999998,11.6963,61.2799,0.0,1422.4679,43.3027,0.5692999999999999,31.067300000000003,174.10907820799994,225.91,21.91387096774193,25.51612903225806,19.52774193548387,84.09774193548388,9.91672258064516,189.0435483870968,152.10516129032263,331.5190322580645,645.9587096774194,223.7025806451613,1.5,3.983064516129032,14531523.0,0.0,1.0,31.0,31.0,0.3830346540684679,0.6169656271329568,0.0343665424795052,0.0004518164602572,8.670976344268938e-05,192431.0,,,,,40.77085483870968,40.77085483870968,1987.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3531786926601505,86.70976344268938,2010,1,Estres Severo,4
2010-02-01,1227.625153376,884.2790999999999,649.3286999999999,255.0832,81.2067,140.8543,129.31470000000002,7.506299999999999,35.3635,0.0,1533.6080000000002,15.0568,2.8081,181.4102,136.821346624,382.15,22.22714285714286,25.46642857142857,20.147142857142857,87.49964285714286,9.372085714285712,240.2296428571429,180.6507142857143,337.4375,1111.7657142857145,293.39,1.22,9.132142857142858,14552968.535714284,0.0,1.0,12.0,28.0,0.5766004741759301,0.4233993954126477,0.0122649816669147,0.0022874246200297,8.435565227556826e-05,289714.0,,,,,85.31237918601191,78.1058318452381,1981.6,74.13692592592592,0.0,0.0,0.0,0.0,0.0,0.3276273294257436,84.35565227556826,2010,2,Estres Severo,4
2010-03-01,1427.523417256,861.9692,741.1413,213.861,92.6834,218.9944,146.98630000000003,9.904799999999998,58.7114,0.0,1603.1108000000002,28.573699999999995,2.8331,44.4367,156.891282744,384.9700000000001,22.176129032258068,25.565483870967743,19.91,86.47838709677418,9.38352258064516,173.78967741935486,162.7570967741936,360.8487096774193,1098.4012903225807,258.25290322580645,0.84,9.061290322580644,14574414.193548389,0.0,0.0,0.0,31.0,0.5376853552480589,0.4623144576157805,0.0200162740972226,0.0019846259373074,9.794722438229576e-05,222838.0,,,,,52.7519199327957,50.79523924731183,1986.21,40.38556451612903,2063.35,0.0,0.0,0.0,0.0,0.2585219982338116,97.94722438229576,2010,3,Estres Severo,4
2010-04-01,1369.350900679,1026.9817,609.3661000000001,207.7585,88.094,141.7739,146.652,7.1122,17.9755,0.0,1636.348,29.437900000000003,2.7000999999999995,139.97089999999997,153.763999321,344.88,22.118,25.467333333333336,19.92900000000001,87.52066666666668,9.18,231.3223333333333,427.86400000000015,409.1496666666666,2150.7823333333336,469.5393333333334,0.3499999999999998,13.175833333333332,14596586.8,0.0,0.0,0.0,30.0,0.6276059249010603,0.3723939528755497,0.0214977037554092,0.0019718101464432,9.38130892818724e-05,501595.0,295935.0,0.0,0.0,0.0,112.01187229166666,70.75657361111111,1984.86,81.51645066273932,2063.0,0.0,0.0,0.0,0.0,0.4884166874638564,93.81308928187238,2010,4,Estres Severo,4
2010-05-01,1388.617084448,1358.8197999999998,548.4735,190.5305,85.17869999999999,151.12310000000002,114.3784,4.0427,1.8794,1.3407,1907.2938,34.328199999999995,2.8953999999999995,430.3474,119.76211555199995,180.34,21.72096774193549,25.041290322580643,19.45387096774194,86.24032258064516,8.942580645161291,260.7409677419355,375.7122580645161,461.3816129032257,1757.7077419354837,438.0154838709677,-0.1699999999999999,11.694354838709677,14618759.387096774,0.0,0.0,0.0,31.0,0.7124333964699092,0.2875663413785542,0.0247211419076311,0.0020850960516238,9.498870921110178e-05,455758.0,,,,,149.98739029973115,105.36993279569892,1983.41,104.70982392473118,2106.36,0.0,0.0,0.0,0.0,0.3354072409012586,94.9887092111018,2010,5,Estres Leve,0
